cleanliness_score,odor_score,waste_level,complaints,footfall,hours_since_cleaning
4.5,8.1,45.3,6,453,15.1
7.0,4.0,13.0,2,351,36.0
8.2,5.5,28.6,2,688,3.0
10.0,1.0,0.0,1,481,13.3
8.9,1.6,58.9,1,451,22.6
9.1,2.2,9.3,0,419,6.9
8.6,5.4,28.6,3,358,1.3
4.9,4.7,58.8,7,306,1.1
7.0,5.3,30.6,3,542,0.7
7.3,3.4,38.1,3,277,8.7
4.8,5.0,55.0,9,658,4.9
7.2,2.3,45.2,3,659,5.4
5.1,4.5,55.9,7,598,5.3
8.2,4.1,32.3,5,291,10.6
4.1,9.3,68.6,7,289,30.2
9.2,2.4,19.5,1,95,15.2
7.4,1.9,22.3,3,20,12.2
6.9,3.8,31.4,3,307,2.1
6.5,3.8,37.4,5,481,10.1
7.1,4.0,49.8,4,275,0.8
6.2,3.1,35.3,2,368,5.0
5.0,6.2,58.0,5,265,7.8
4.4,5.3,48.2,4,505,9.7
6.8,3.3,56.9,3,365,2.6
5.4,4.6,16.7,4,531,1.7
5.6,6.0,69.7,7,20,2.7
8.2,2.8,26.8,0,759,14.7
6.3,4.2,40.5,5,420,3.3
9.4,1.0,30.8,4,216,0.5
5.3,3.7,36.7,3,188,1.4
7.3,4.6,20.8,2,523,0.8
5.0,4.7,62.4,8,441,3.1
6.1,6.9,30.1,2,587,10.5
5.8,7.6,35.1,7,98,21.6
5.9,3.6,60.4,3,514,11.1
7.2,5.5,44.2,2,287,2.6
6.1,3.8,32.5,8,772,7.1
7.9,3.6,11.1,1,722,3.9
8.1,3.2,25.5,2,73,36.0
7.2,3.8,28.9,1,515,2.1
6.9,4.4,26.2,3,651,0.5
5.6,6.6,52.0,3,422,9.4
5.7,7.5,46.1,5,109,5.5
8.1,4.6,41.9,4,498,16.5
8.9,3.0,7.2,0,591,15.4
5.0,8.4,52.6,8,671,1.0
3.3,8.1,84.9,10,357,6.9
6.9,4.8,51.0,9,346,11.7
10.0,1.8,19.5,2,331,5.0
7.6,1.9,25.6,4,478,9.5
4.3,5.0,59.3,4,321,0.7
4.5,6.3,65.1,6,263,0.7
4.2,5.2,56.9,8,725,0.7
5.7,5.8,65.5,11,805,1.5
6.5,6.5,55.0,4,275,7.0
6.7,4.4,44.5,4,359,29.3
7.7,5.3,52.2,5,877,0.5
6.1,5.5,51.6,11,403,17.2
6.4,2.9,21.0,5,446,0.9
7.2,5.6,40.8,7,707,6.6
5.8,4.7,36.0,4,330,5.2
5.4,8.8,42.9,7,818,24.4
10.0,2.1,10.4,2,595,36.0
5.3,5.6,36.3,5,340,1.1
2.7,6.2,68.9,8,732,2.3
4.3,7.5,97.6,7,531,19.2
5.5,4.3,69.8,5,220,5.8
3.7,9.2,52.6,10,850,3.5
8.2,1.0,35.4,5,418,1.6
6.6,5.9,52.9,3,397,5.1
3.4,7.7,70.1,11,413,7.6
7.4,1.8,28.8,1,312,0.5
6.3,6.4,47.7,3,695,1.6
1.1,10.0,92.3,7,176,2.9
5.5,4.2,37.3,8,713,1.9
8.4,1.7,34.3,1,667,1.9
7.0,5.1,57.1,7,548,4.2
6.9,4.8,46.4,5,616,11.9
5.6,5.6,44.8,6,467,18.6
9.2,3.0,11.8,1,373,8.5
4.3,7.7,39.6,5,663,7.3
6.4,5.5,51.1,5,691,6.6
5.8,4.9,52.1,4,290,7.6
8.4,2.9,29.6,1,202,7.9
8.9,1.0,29.1,4,581,3.5
6.5,2.0,42.3,4,301,1.7
7.2,5.2,31.6,2,199,14.3
5.7,6.0,63.8,6,579,0.5
5.4,4.9,50.1,5,20,10.1
7.6,3.7,35.1,4,393,6.6
6.9,5.1,42.0,4,598,14.1
7.7,5.2,35.5,3,454,20.6
5.1,6.8,64.2,4,666,7.3
7.6,3.6,24.8,4,220,28.3
3.2,6.5,71.0,7,549,7.4
7.4,4.9,43.1,5,670,10.4
4.8,6.5,43.7,6,671,5.1
8.3,3.8,17.9,4,475,3.6
5.4,5.4,66.5,4,550,6.6
7.0,2.9,44.5,4,422,4.4
7.7,2.7,15.1,2,426,2.4
7.3,4.0,45.1,6,298,8.6
5.6,5.0,65.2,5,154,2.3
4.9,7.1,36.7,1,54,22.7
6.2,3.9,48.1,5,721,4.7
4.8,3.4,73.3,6,30,0.5
5.3,7.7,33.8,3,430,1.9
7.8,5.5,35.4,10,739,3.0
7.1,3.8,26.1,3,593,24.5
5.2,5.5,54.0,5,288,0.5
6.7,6.2,46.1,5,462,1.4
4.9,4.7,54.3,5,853,1.0
7.6,1.7,43.5,3,671,1.7
4.3,4.4,72.0,7,433,6.3
3.6,6.4,62.8,7,871,9.0
4.8,7.0,76.3,7,188,9.0
7.7,3.0,40.4,5,302,2.6
4.9,7.7,57.1,9,521,10.9
7.1,4.7,41.2,2,444,8.4
6.8,5.2,43.3,6,644,4.7
5.0,5.7,64.3,6,392,13.8
6.7,5.8,57.9,4,414,2.4
6.5,4.8,39.1,5,293,13.6
3.9,6.9,71.2,4,482,19.8
8.1,3.6,41.8,3,416,8.3
10.0,1.0,15.4,0,298,1.7
6.5,5.1,42.4,4,464,0.5
7.7,5.9,40.6,2,458,34.9
2.1,6.7,76.1,9,117,8.9
8.7,1.4,40.2,3,197,2.0
3.4,5.8,63.1,8,765,7.3
7.1,2.6,52.2,0,328,4.4
5.0,8.1,81.0,7,525,12.6
5.0,6.1,61.5,9,824,8.9
5.2,5.7,51.7,10,371,23.0
8.3,3.5,43.0,5,504,4.2
6.1,3.9,51.8,4,579,4.5
5.3,5.1,59.4,5,71,10.7
5.7,5.5,60.5,6,326,6.0
8.1,1.6,42.6,4,591,1.3
8.4,1.0,16.4,2,589,3.8
4.5,6.2,63.6,10,217,1.6
4.7,8.0,50.8,5,271,3.7
7.1,2.6,22.7,2,325,4.6
2.7,6.4,78.9,9,400,7.8
5.4,6.2,47.5,3,337,5.7
6.1,2.7,72.2,5,226,6.4
3.1,7.0,81.3,10,435,0.5
4.7,4.6,66.2,7,617,1.7
10.0,1.2,16.5,0,439,17.4
7.2,3.5,33.5,3,362,1.0
6.6,4.1,36.9,4,430,6.6
6.2,4.8,13.3,2,39,20.2
6.7,3.8,30.0,5,443,3.8
6.5,4.4,53.3,5,267,19.4
6.6,2.5,48.9,3,108,0.5
6.0,5.3,52.4,3,247,7.0
7.9,6.0,18.4,1,244,0.8
6.8,4.9,22.7,5,393,5.3
8.8,2.9,36.0,1,344,1.8
6.9,4.1,51.1,3,345,2.5
3.6,6.4,57.5,7,352,6.4
9.0,1.0,17.8,0,113,25.4
6.9,4.6,43.1,3,765,0.9
8.8,1.7,27.8,3,430,14.1
6.2,3.9,30.2,5,859,2.8
5.9,4.4,44.1,6,786,13.2
6.8,6.2,40.4,3,552,9.1
8.1,4.6,48.0,5,20,10.0
4.9,8.0,55.9,6,706,3.1
4.6,7.4,56.1,6,762,14.5
7.0,3.0,23.8,3,20,1.8
6.0,3.3,29.8,1,20,22.5
8.0,3.8,28.6,3,746,6.7
7.8,3.4,10.5,4,453,7.9
8.5,1.1,38.9,2,539,1.0
4.2,6.0,60.8,4,789,1.5
6.7,5.1,50.5,3,607,3.9
7.8,1.1,26.8,3,414,5.8
3.9,8.4,50.4,7,249,0.5
3.0,7.0,100.0,6,564,3.4
5.9,8.1,58.6,10,356,1.1
10.0,1.0,0.0,1,267,8.1
6.5,6.2,38.5,5,356,7.3
6.2,6.7,54.2,9,637,8.5
6.0,4.5,2.4,5,504,8.0
5.0,8.1,30.8,4,821,2.4
5.8,4.4,39.5,7,365,1.9
7.7,3.2,56.0,5,315,5.6
4.6,5.4,75.4,7,416,0.5
4.6,8.2,77.5,6,375,14.2
6.5,4.9,49.5,4,423,9.7
4.1,5.6,81.8,7,1018,5.2
8.4,4.6,0.0,3,393,0.6
5.7,5.1,43.5,8,923,0.5
5.5,1.0,47.9,5,357,7.2
4.7,6.0,80.3,11,418,36.0
5.4,7.5,48.8,8,274,0.6
8.3,2.3,17.5,2,576,18.4
8.8,1.2,24.0,0,280,19.2
6.8,3.8,56.3,3,439,0.9
8.9,3.3,31.6,2,303,1.0
6.6,3.4,29.3,2,469,16.7
6.1,6.3,65.0,4,687,0.9
3.9,8.4,73.6,6,354,4.9
5.1,3.9,56.7,2,432,3.8
9.7,1.0,23.7,4,573,8.7
7.5,5.0,35.3,5,632,7.2
6.8,1.6,51.3,3,424,1.7
6.4,8.9,99.6,9,496,3.8
4.0,7.8,69.8,6,468,2.7
5.4,6.9,59.0,7,591,21.5
7.4,3.1,56.0,3,431,2.5
8.9,3.3,17.7,2,459,6.0
6.3,3.5,48.4,4,164,7.9
8.2,2.8,21.1,2,703,1.6
8.9,1.5,16.9,2,666,5.7
7.2,3.8,65.9,3,928,16.9
8.2,3.4,43.3,2,321,6.9
5.5,6.1,31.8,6,162,15.3
6.4,3.3,47.0,4,211,1.5
7.5,1.4,34.0,2,540,2.3
7.7,3.6,40.4,6,460,19.7
9.7,2.7,28.2,2,621,22.0
7.7,2.7,52.2,3,401,3.3
4.9,4.7,34.4,6,124,8.7
7.0,5.4,34.7,3,562,14.7
7.7,3.8,29.1,6,603,1.6
6.1,6.0,66.5,6,162,1.6
8.0,2.9,22.5,3,530,3.6
7.3,3.4,37.7,6,257,6.9
6.1,6.0,22.2,6,668,16.7
5.0,6.1,46.4,7,383,0.5
7.1,5.7,62.1,5,318,8.0
9.0,1.0,27.5,3,517,0.8
5.9,7.7,34.3,7,320,5.7
8.7,1.1,15.5,0,302,2.4
6.4,6.9,14.9,5,505,4.4
2.2,7.3,81.1,10,524,1.5
7.5,5.2,31.3,7,771,19.1
4.1,6.9,39.7,4,347,6.5
7.6,2.8,40.8,4,268,1.1
4.0,8.9,67.4,3,311,13.5
5.0,6.2,52.8,5,763,3.6
7.2,4.0,23.3,3,307,1.3
7.2,1.6,26.4,5,579,10.3
6.0,3.6,46.6,3,401,0.5
4.4,9.1,64.2,6,628,13.3
7.0,7.0,38.2,4,525,22.6
4.5,7.4,82.7,5,650,4.7
8.1,4.9,23.5,0,314,0.6
4.2,7.1,69.9,7,911,1.6
5.8,8.7,33.2,4,317,0.5
10.0,2.5,7.8,2,270,1.0
8.2,1.9,4.0,0,424,11.9
7.0,4.8,51.7,9,721,16.2
3.3,7.5,53.5,5,20,11.5
7.9,3.3,17.2,2,363,1.2
8.8,4.3,0.0,3,260,0.7
7.3,3.5,49.4,6,592,2.2
5.8,4.6,62.7,3,630,14.7
8.6,1.0,23.1,3,626,4.5
9.5,2.3,10.9,0,161,0.8
8.1,4.3,14.3,2,163,12.8
5.9,2.2,70.1,2,253,3.0
10.0,1.0,5.1,0,20,1.2
8.9,2.4,0.0,1,782,4.2
6.5,4.5,52.2,5,416,15.5
7.3,6.4,38.2,8,496,4.2
6.0,3.4,50.0,4,660,18.3
6.9,2.4,58.3,7,583,2.9
6.0,7.4,28.2,7,272,8.4
8.5,2.5,29.1,3,330,26.2
7.2,3.0,34.8,6,116,26.7
10.0,1.3,0.0,0,424,7.9
6.9,1.9,36.4,5,534,1.5
3.7,9.0,63.0,9,211,7.3
4.7,5.2,44.1,5,62,19.7
6.0,4.8,44.4,4,652,4.5
7.3,6.5,30.0,2,576,10.1
4.9,6.1,51.4,8,271,18.0
6.2,7.1,50.3,4,70,2.9
6.7,7.8,48.8,5,726,12.1
5.9,6.4,39.3,7,750,5.3
7.3,4.7,39.0,5,457,11.0
8.6,4.5,28.2,3,176,1.5
5.0,5.8,61.6,4,50,8.1
10.0,3.3,32.6,3,537,1.5
7.5,3.0,54.6,3,661,5.0
5.5,4.5,41.1,7,286,8.1
8.6,2.3,11.3,2,248,10.2
5.8,3.0,47.1,6,118,0.5
5.8,2.1,48.0,6,680,3.2
5.9,7.9,38.4,8,566,9.5
7.1,2.2,42.9,1,558,4.3
7.2,4.8,45.8,6,146,12.8
7.8,2.9,15.7,1,590,22.5
6.0,4.2,51.9,6,476,1.2
6.3,4.9,37.8,3,646,17.2
